"text","likeCount","reply"
"Chat bots are inflitrated by this",1,FALSE
"CEOs need to bet all over this talk",1,FALSE
"This has revolutionised the PR & media world",1,FALSE
"Imagine chat bots using bad language lol",1,FALSE
"Customer service will always be at its best with human interaction in my opinion",1,FALSE
"Common sense governance - loved this Dominique",1,FALSE
"Humans need to controlling AI, not the other way round as you quite rightly state at the end",1,FALSE
"The governance of this area is going to be crucial",1,FALSE
"Generative AI- crazy crazy world",1,FALSE
"I had no idea of the costs of these computers that run AI - $100 million wow",1,FALSE
"We go to. are sure we evolve with this topic",1,FALSE
"Super interesting",1,FALSE
"Appreciate this talk and being shown it, glad I listened in",1,FALSE
"Wonderful tedx talk",1,FALSE
"What a niche topic, amazed me",1,FALSE
"Impressive bio to , fab speaker",1,FALSE
"Data breaches is a real thing and alot not reported",1,FALSE
"Ransom attacks really ???",1,FALSE
"How can this area be safe ???",1,FALSE
"Congratulations",1,FALSE
"Very fascinating conversation, thanks for sharing",1,FALSE
"The topic boggles my mind, really it does",1,FALSE
"I can't stand dealing and talking to robots",0,FALSE
"Big governance issues",1,FALSE
"My co is in a pilot agreement on same, the goal is to create our own",1,FALSE
"Employees need to take collective and individual responsibility for their input here.",1,FALSE
"I want to be a speaker now!",1,FALSE
"Bring back real people",1,FALSE
"I am really worried about this and the consequences for us all",1,FALSE
"If in doubt don't click",1,FALSE
"Really good !",1,FALSE
"Data is only goo if its used correctly, cue the IT professionals",1,FALSE
"Cyber crime is real folks",0,FALSE
"Powerful message and content",1,FALSE
"Woe, super intriguing subject area, I wouldn't like to be a business owner in todays world, that's for sure",1,FALSE
"Great talk",2,FALSE
"Artificial Intelligence and digital assistants are a huge part of my business, it's driven growth and innovation",2,FALSE
"Well done",2,FALSE
"Tech eco system geeks you'll love this !!!",2,FALSE
"Everything is in the bloody cloud",2,FALSE
"Fasciabnting talk",2,FALSE
"Great talk Dominique",2,FALSE
"Watch those suspicious emails !!!! So simple",2,FALSE
"Enjoyed this",2,FALSE
"The internet is a vast ocean of data Dominique isn't it",2,FALSE
"The users of AI need to be very careful for the info they input- huge consequences good and bad",2,FALSE
"I wasn't always digital savvy but I am now",2,FALSE
"Love this",2,FALSE
"Huge threat",2,FALSE
"This topic aint that new, it's been around along time",2,FALSE
"I can imagine this is very important for specific sectors including security, healthcare, finance etc",2,FALSE
"Loved this speech",2,FALSE
"Thanks for sharing with the world !",2,FALSE
"I didn't realise the role this has in business",4,FALSE
"Security is always a concern I agree Dominique",2,FALSE
"Love this",0,FALSE
"AMAZING",1,FALSE
"This was so interesting",2,FALSE
"Thank you for sharing your knowledge Dominique",2,FALSE
"Wow, I never thought about it that way before.",2,FALSE
"This talk really resonated with me and opened my eyes to all things AI and cyber security",2,FALSE
"Really enjoyed it.",2,FALSE
"Incredible insights fab speaker",2,FALSE
"This has changed my perspective on security online",2,FALSE
"I am going to share this with my friends and family. They all need to hear this !",2,FALSE
"This speaker is amazing, super interesting",2,FALSE
"So much passion and wisdom in one conversation!",2,FALSE
"I love the way you explained this complex topic with great clarity Dominique",2,FALSE
"This talk has given me a lot to think about.",2,FALSE
"Thank you speaker!",2,FALSE
"Can’t wait to implement these ideas in my own life, no more clicking on links in emails !",2,FALSE
"Such a powerful message and tedx talk",2,FALSE
"More people need to hear this. Thought leading",2,FALSE
"This is exactly what I needed to hear today as i spend A LOt of time online",2,FALSE
"Thank you , very grateful",2,FALSE
"You have such a unique perspective , fab speaker",2,FALSE
"I feel so motivated after watching this to get more knowledgable on AI",2,FALSE
"This talk is a game-changer for sure !!!",1,FALSE
"Thank you",2,FALSE
"Such a refreshing take on this topic , great work",2,FALSE
"Well done!",2,FALSE
"This was so well-articulated and thought-provoking for sure",2,FALSE
"I’m going to watch this again . The topic of AI is so complex",2,FALSE
"This talk has inspired me really think about my own security online",2,FALSE
"The speaker’s energy is palpable !",2,FALSE
"You’ve opened my eyes to a new way of thinking. Great talk.",1,FALSE
"This was fab",2,FALSE
"Beautifully presented",1,FALSE
"I can relate to this so much !!!",2,FALSE
"Thank you for sharing your story.",1,FALSE
"This talk has given me hope for the future.",2,FALSE
"Brilliant talk",2,FALSE
"I’m going to share this with my network on socials",2,FALSE
"Thank you for being so authentic and genuine",2,FALSE
"This talk has really impacted me, in a good way.",2,FALSE
"Thank you.",2,FALSE
"So many great takeaways in this",2,FALSE
"I’m feeling very motivated now .",2,FALSE
"I appreciate this",2,FALSE
"Great talk!",2,FALSE
"I love how you broke down this topic Cornelia !",2,FALSE
"Very insightful and informative",2,FALSE
"This has given me a new perspective on a few things",2,FALSE
"Thank you !!!!!!",1,FALSE
"I’m inspired to make a difference after watching this one",2,FALSE
"This talk really resonated",2,FALSE
"Beautiful message.",2,FALSE
"You are an incredible speaker !",2,FALSE
"More people need to hear this. !",2,FALSE
"This was so so good",1,FALSE
"I’ve watched this talk 3 times. So inspiring!",1,FALSE
"Well done!",0,FALSE
"This talk has sparked a real interest in improving my relationships with others",2,FALSE
"Thank you!",2,FALSE
"Your passion and enthusiasm jump from the screen !",2,FALSE
"Such a powerful message.",4,FALSE
"I’m feeling motivated right now.",2,FALSE
"Please do. We all have an important role to play in shaping our future!",1,TRUE
"Thrilled to hear this!",1,TRUE
"There is a lot of hope and humans are in charge!",1,TRUE
"Great! Please do!",1,TRUE
"These are critical growth areas for AI where governance will carry the keys to success!",0,TRUE
"We need all perspectives at the table, so this is great!",1,TRUE
"Fantastic!",0,TRUE
"Yes! And in order to navigate the sea of data in a trustworthy way, we need a plan- it’s called governance - to see us through safely!",0,TRUE
"Great! Please do this!",0,TRUE
"Please note that if we implement the six steps for governance, we can go from worry to control.",0,TRUE
"These threats can and should be mitigated through governance",0,TRUE
"People to implement governance are essential for AI!",0,TRUE
"Love this talk !",1,FALSE
"Well done",1,FALSE
"Fab",1,FALSE
"Thanks for sharing this conversation on such an important and fast evolving topic Dominique",1,FALSE
"The world needs to hear this , has so many. implications for so many people !",1,FALSE
"More please Dominique",1,FALSE
"Fascinating conversation",1,FALSE
"Mind blowing discussion with some hugely interesting and thought provoking info on cyber security and in particular about the breaches that are never reported. The mind boggles",1,FALSE
"This a fast evolving topic are",1,FALSE
"Inspiring conversation",2,FALSE
"Excellent speaker alert",2,FALSE
"Dominique when is your solo tedx talk ?? Enjoyed this so much",2,FALSE
"Well done Dominique",2,FALSE
"Not my usual topic but i loved the speakers knowledge and passion. for the topic",2,FALSE
"Very knowledgeable and informative discussion and certainly opened my mind a little , thanks Dominique",2,FALSE
"Wonderful",2,FALSE
"Bravo",2,FALSE
"I hope the industries and the people that need to hear this - hear it",2,FALSE
"This is the first AI talk i have heard that the speaker really cares about the good governance and use of it",2,FALSE
"This is coming! I am hoping to apply in 2025!",0,TRUE
"This has given me a lot to think about.",1,FALSE
"I love how the speaker addressed both sides of the issue.",1,FALSE
"I’m so glad I watched this Dominique",1,FALSE
"The ideas presented were very innovative.",1,FALSE
"This is one of the best TEDx talks I’ve seen.",1,FALSE
"I found the speaker’s insights very valuable.",1,FALSE
"This talk was both educational and inspiring.",1,FALSE
"The speaker had a great stage presence.",1,FALSE
"I learned something new today. AI is wild",1,FALSE
"This was a very impactful conversation .",1,FALSE
"The speaker’s message resonated with me.",1,FALSE
"I appreciate the depth of knowledge shared.",1,FALSE
"The talk was very well-organized. Great conversation and you led this Dominique",1,FALSE
"I feel more informed about this topic now.",1,FALSE
"The speaker’s enthusiasm was infectious.",1,FALSE
"I can relate to the speaker’s experiences.",1,FALSE
"This talk provided a lot of food for thought.",1,FALSE
"found the talk very enlightening.",1,FALSE
"This has inspired me to make some changes in my life around AI and my attitude",1,FALSE
"I’m grateful for the insights shared.",0,FALSE
"The speaker’s perspective was very refreshing.",1,FALSE
"I found the data presented very compelling.",1,FALSE
"This talk was very motivating. AI is the present",1,FALSE
"The speaker’s approach was very innovative.",1,FALSE
"I appreciate the practical examples given.",1,FALSE
"The talk was very well-delivered.",1,FALSE
"I found the speaker’s knowledge very relatable.",1,FALSE
"This talk was very engaging from start to finish.",1,FALSE
"I love the way the speaker framed the issue. Thanks Dominique",1,FALSE
"Thank you so much for listening!",0,TRUE
"Thank you so much!!",0,TRUE
"Dominique you are so knowledgeable!",0,FALSE
"AI is just weird",0,FALSE
"Good governance is critical",0,FALSE
"A lot of info out there on this topic but this talk is one of the best",0,FALSE
"well done congrats",0,FALSE
"Dominique you are simply the best in this area !",0,FALSE
"Love you",0,FALSE
"So gorgeous and strong",0,FALSE
"D O P E",0,FALSE
"Outfit is hot fire flames you're hot fire fire flames like I wish we were friends lol",0,FALSE
"Great video",0,FALSE
"Great",0,FALSE
"O M G My crush",0,FALSE
"That’s amazing! I Love video like this!!!",0,FALSE
"I feel motivated to make a change now.",0,FALSE
"Brilliant insights Dominique",0,FALSE
"This topic is so important. Thank you for addressing it.",0,FALSE
"A perfect blend of an innovative idea wisdom.",0,FALSE
"Your words really resonate with me.",0,FALSE
"I learned so much from this talk.",0,FALSE
"This speaker is a natural storyteller.",0,FALSE
"This speaker is a natural storyteller.",0,FALSE
"Dominiques talk was truly inspiring!",0,FALSE
"What an incredible speaker!",0,FALSE
"I’ve never thought about it that way before. Thank you!",0,FALSE
"Absolutely life-changing! Ai is crazy",0,FALSE
"This speaker has such a unique perspective.",0,FALSE
"So much wisdom in just one talk.",0,FALSE
"I will definitely be sharing this with my friends.",0,FALSE
"Fab talk",0,FALSE
"Great conversation",0,FALSE
"Very interesting AI convo",0,FALSE
"Fab talk",1,FALSE
"Congrats , one of the best",0,FALSE
"A lot of responsibility comes with new innovations like AI",1,FALSE
"Glad i listened in !",1,FALSE
"Beautiful delivery and confidence by this speaker",2,FALSE
"Congratulations",1,FALSE
"Well done , excellent talk",1,FALSE
"Amazing conversation on such a new topic",1,FALSE
"Wonderful Dominique",1,FALSE
"AI is such a fascinating area isn’t it",1,FALSE
"Very knowledgeable speaker",1,FALSE
"Loved this q and a. what an amazing speaker",1,FALSE
"Congratulations i’m glad the world is getting to hear this !",2,FALSE
"responsibility is the key",1,FALSE
"Fab",1,FALSE
"Great talk",1,FALSE
"Congrats Dominique",1,FALSE
"Very inspiring speaker !",1,FALSE
"Super conversation here . Loved this. Shared it on LinkedIn too",2,FALSE
"I’ve watched alot of your content Dominique and you always provide such valuable insights , kudos to you ! Enjoyed this conversation!",1,FALSE
"I could listen to you all day Dominique, hanging on to your every word . Excellent talk and discussion.",1,FALSE
"I didn’t realise the serious implications to industries such as defence, health , legal etc etc .. Blows my mind . Super serious stuff !",1,FALSE
"With AI comes great responsibility and accountability and i’m glad talks like this certainly shine a light on that. Bravo",1,FALSE
"I didn’t realise the serious implications to industries such as defence, health , legal etc etc .. Blows my mind . Super serious stuff !",1,FALSE
"What next ! AI is a crazy old world !",1,FALSE
"Very inspiring speaker !",1,FALSE
"What next ! AI is a crazy old world !",1,FALSE
"Totally agree Dominique , without trust we have nothing and no matter how good the innovation is trust will be key !",1,FALSE
"Fabulous Dominique",1,FALSE
"Super conversation here . Loved this. Shared it on LinkedIn too",1,FALSE
"Dominique you stay very cool and calm during this , how do you do that ??",0,FALSE
"Great conversation on a very fast evolving area and your knowledge is super impressive",0,FALSE
"Loved this AI conversation, many congratulations on a great tedx",0,FALSE
"I agree responsibility and accountability is key at all levels !",0,FALSE
"I hate dealing with bloody bots , it’s the beginning of the end for us humans !!!!!",0,FALSE
"Artifical Intelligence is the way forward whether we like it or not , best to embrace",0,FALSE
"Some very nervous people in certain areas with the rise of AI",0,FALSE
"Such a minefield this area, grateful for good talks on it - bravo Dominique !!!",0,FALSE
"Inspiring lady",0,FALSE
"Excellent talk Dominique",0,FALSE
"Dominique you stay very cool and calm during this , how do you do that ??",0,FALSE
"Loved this AI conversation, many congratulations on a great tedx",0,FALSE
"Brill talk",0,FALSE
"Super interesting and fast evolving area, here’s what i would love to know too , , how can anyone be an expert in a subject that is only out 2 seconds ago. ?? know what i mean",0,FALSE
"Super talk and this is how you control a conversation and pass on your expertise in a palatable way ! Bravo Dominique",1,FALSE
"A lot of AI talks but this is one of the best !",0,FALSE
"Great speaker",0,FALSE
"So many industry’s affected both positively and negatively by this . Knowledge is power !",0,FALSE
"It’s ok CEOs knowing about this stuff but workforces need empowered too i feel .",0,FALSE
"Virtual Reality , Metaverse , now Artifical Intelligence - what next ???",0,FALSE
"Dominique i connected with someone in the audience you recently spoke to at a big event ! They loved your talks and so did i , 2 new fans lol",0,FALSE
"AI !!!!",1,FALSE
"Listened to one of your other talks too!",1,FALSE
"So many industries affected BUT the opportunities are huge !) Particularly in the media world too . Fascinating times . Great words Dominique !",2,FALSE
"Dominique i was sent this talk to watch and also a link to buy your new book !",1,FALSE
"agree wholeheartedly that good governance is key in this fast growing fast paced area of Artifical Intelligence !",2,FALSE
"Amazing lady, amazing speaker !",1,FALSE
"Congratulations Dominique !",2,FALSE
"Excellent conversation !",1,FALSE
"Congratulations",1,FALSE
"Super talk Dominique !!!!",1,FALSE
"I’m listening to you and your other talks too on AI !",0,FALSE
"Fantastic TEDx Talk here and a fast evolving area too . Totally agree on the good governance of it being pivotal in its development too.",1,FALSE
"️",1,FALSE
"Lovely speaker here .. delivers so well. Really enjoyed this conversation",1,FALSE
"️",1,FALSE
"Fantastic TEDx Talk here and a fast evolving area too . Totally agree on the good governance of it being pivotal in its development too.",1,FALSE
"I’m listening to you and your other talks too on AI !",1,FALSE
"Don’t enjoy these talks anymore, everyone is an expert on AI all of a sudden !",0,FALSE
"agree with a lot of what Dominique says , i’ve listened to her many times on this subject and she is truly world class !! One of the best experts globally on AI bar none !!!!",0,FALSE
"️",0,FALSE
"Congratulations on a brilliant discussion. Unusual format for a ted talk i thought but one of the best conversations, thank you for sharing !!!",1,FALSE
"",1,FALSE
"Dominique do you see AI being a big player in industry and commerce in 5 years time or is it here to stay ??? Curious",1,FALSE
"Fantastic talk",1,FALSE
"Congrats",1,FALSE
"Wonderful conversation and sort of alarmed me at how this plays a part and a threat also to many business sectors .. always challenging situations with these things isn’t there !!!!!",1,FALSE
"Bot #1",1,TRUE
"Dominique you are such an engaging speaker and a real source of great knowledge and wisdom in this specific area. To be honest i find the whole AI subject potentially scarey , where does it stop, what are the big downsides , some alluded to in this conversation. It’s a weird world we live but one where we must embrace fast evolving areas like this ! Thanks for sharing too !",1,FALSE
"One of the best talks i’ve heard in a. long time , super relevant in todays world and i think that’s what drew me in ..",1,FALSE
"️️",0,FALSE
"Congratulations on a super successful talk !",1,FALSE
"Love this AI stuff",1,FALSE
"Congratulations",1,FALSE
"",0,FALSE
"Well done Dominique !",1,FALSE
"New topic for me but interesting Dominique ‘",1,FALSE
"What next and where does it all end. The security issues are a genuine concern",1,FALSE
"",0,FALSE
"",0,FALSE
"Recommend this !",1,FALSE
"",0,FALSE
"Loved the conversation and would actually like to see you deliver a solo talk on the same subject area as i think you could be even more expansive on the topic , maybe i’m just selfish lol",1,FALSE
"Super interesting speaker.",1,FALSE
"I was searching for thought leading artificial intelligence talks and this came up on top of the list as one to watch !!!!!!!! super impressed",2,FALSE
"️",1,FALSE
"Love the topic, love the information, love your name lol love you !",1,FALSE
"Dominique - catch ! lol",1,FALSE
"I’m pretty sure i seen your book somewhere online ? Apologies if im wrong !",1,FALSE
"",0,FALSE
"",1,FALSE
"Another great conversation and emphasising the important of good governance about a relatively new topic area , that said it’s been round for tests but very prominent in many industries now . Loved it",1,FALSE
"Congratulations again x",0,FALSE
"Congratulations Dominique !",0,FALSE
"Really enjoyed this fascinating conversation. AI will impact us all at some point or another. Best to get educated i think ! Thank you for sharing a great talk and conversation.",0,FALSE
"If you are looking for a credible , informative and interesting AI themed TEDx talk then you’ve just found it . Highly recommend. Superb talk and speaker !! Loved it !!",0,FALSE
"️",0,FALSE
"️",0,FALSE
"Dominique is a fantastic speaker. I’ve listened to her a few times now talk on this very subject and i learn something new each time. A must listen !",0,FALSE
"I believe AI needs to be properly governed . Like all these things best practice and ethical usage with integrity and transparency is key and Dominique talks about this very well. Excellent convo.",0,FALSE
"I fear for the health and security industries specifically as you’ve alluded to both and the risks involved in this conversation.",1,FALSE
"Great talk Dominique",1,FALSE
"Interesting conversation thanks Dominique .",1,FALSE
"",0,FALSE
"️",0,FALSE
"I listened to a talk earlier and the speaker was talking about the future being AI dealing and communicating with other AI .. ie no humans .. freaked me out ! What is the world coming to.",1,FALSE
"Really enjoyed this !",1,FALSE
"Highly recommend this talk !",2,FALSE
"Listened to this twice i enjoyed it that much !",2,FALSE
"One of the best AI talks i’ve heard",1,FALSE
"️",1,FALSE
"I’m seeing a lot of these AI talks now it is becoming very important",0,FALSE
"Wonderful talk Dominique",1,FALSE
"What about the health industry?",0,FALSE
"Good governance required in this topic area.",1,FALSE
"Grateful for this !",2,FALSE
"",1,FALSE
"Worrying how this can infiltrate the security industry in particular !",0,FALSE
"My worry is where does this all end ?",0,FALSE
"Super impressive speaker",1,FALSE
"Fascinating AI conversation. :)",1,FALSE
"Love Dominique , brilliant speaker",2,FALSE
"Love this !",1,FALSE
"AI ‍",1,FALSE
"",0,FALSE
"",1,FALSE
"Thought leading talk this is !",1,FALSE
"Bravo",1,FALSE
"Congrats Dominique Shelton ‘",2,FALSE
"",1,FALSE
"Great talk!!!!!",1,FALSE
"",1,FALSE
"Loved this one - AI is the best",1,FALSE
"Great tips and advice in this Dominique",1,FALSE
"",0,FALSE
"",1,FALSE
"Amazing talk",1,FALSE
"Fabulous speaker - very knowledgeable",1,FALSE
"Thanks for sharing",1,FALSE
"",1,FALSE
"Brilliant",1,FALSE
"Shared with my friends",1,FALSE
"Great one this",1,FALSE
"One of the best ted talks i’ve heard in a long time",2,FALSE
"Amazing talk !!!",1,FALSE
"Well done you :)",1,FALSE
"Fantastic , thanks !",1,FALSE
"hat a wonderful talk !",0,FALSE
"",1,FALSE
"Love the story telling and tips",1,FALSE
"Congratulations",1,FALSE
"Well done !",1,FALSE
"Dominique !!!",1,FALSE
"Fantastic share and listen.",1,FALSE
"Appreciate this talk !",1,FALSE
"Brilliant speaker :)",1,FALSE
"Dominique",1,FALSE
"Very well delivered speech on AI",1,FALSE
"Great presentation",1,FALSE
"",1,FALSE
"Not another talk , dear me",0,FALSE
"Grateful for this one !",2,FALSE
"Very inspirational",1,FALSE
"Informative conversation on AI this one !",1,FALSE
"Motivated after this one to learn more .",1,FALSE
"Empowering and inspiring",1,FALSE
"Excellent stuff Dominique :)",1,FALSE
"Super confident speaker",1,FALSE
"Love your message",1,FALSE
"Great talk",1,FALSE
"Sharing this !!!",1,FALSE
"Listened twice now",1,FALSE
"Congratulations on this speech",1,FALSE
"Didn't know Ai had been around since the 50s i thought this was entirely new.",1,FALSE
"wow so the little chat icon on sites isn't really a person.",1,FALSE
